priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-21,2026-09-24,midweek,3,1,LAST_MINUTE,399.0,500,1697.0,565.67,73.3,30.0,509.33,677.67,707.53,427.4,58.5,300.0,-99.0,↓ Reduce $399 → $300,8,346.67,554.31,439.62,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,4,LAST_MINUTE,549.0,500,2147.0,715.67,73.7,57.5,625.67,802.84,837.0,635.92,26.0,450.0,-99.0,↓ Reduce $549 → $450 • High compression,13,520.01,1485.0,655.02,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,7,LAST_MINUTE,399.0,500,1697.0,565.67,65.2,30.0,520.17,818.91,873.67,462.67,55.3,300.0,-99.0,↓ Reduce $399 → $300,8,346.67,554.31,439.62,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,21,LAST_MINUTE,532.33,500,2097.0,699.0,80.5,30.0,618.67,760.33,806.67,553.0,46.5,311.0,-221.0,↓ Reduce $532 → $311,15,332.91,554.31,446.59,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-10-26,2026-10-29,midweek,3,36,LAST_MINUTE,399.0,500,1697.0,565.67,52.3,30.0,608.33,913.67,999.93,485.67,34.4,300.0,-99.0,↓ Reduce $399 → $300,16,332.91,968.75,471.87,-36% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-29,2026-11-01,weekend,3,39,LAST_MINUTE,599.0,500,2297.0,765.67,49.0,61.6,968.0,1162.84,1282.0,1092.67,-18.7,775.0,176.0,↑ Increase $599 → $775,20,541.34,1453.13,679.37,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-11-08,2026-11-11,midweek,3,49,LAST_MINUTE,490.0,500,1970.0,656.67,50.0,30.0,764.17,1055.75,1102.0,644.07,18.0,390.0,-100.0,↓ Reduce $490 → $390,18,364.79,968.75,503.45,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,56,NORMAL_WINDOW,490.0,500,2460.0,615.0,55.6,30.0,653.5,938.81,977.95,551.48,29.5,350.0,-140.0,↓ Reduce $490 → $350,17,364.79,968.75,522.98,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,70,NORMAL_WINDOW,751.5,500,3506.0,876.5,82.7,30.0,682.25,935.75,1013.45,561.33,90.5,335.0,-416.0,↓ Reduce $752 → $335,11,353.04,919.57,505.36,-30% vs Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,74,NORMAL_WINDOW,714.0,500,2642.0,880.67,61.4,61.6,949.33,1258.5,1354.2,1059.82,0.8,707.0,-7.0,,13,529.55,1379.36,656.89,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-06,2026-12-10,midweek,4,77,NORMAL_WINDOW,554.0,500,2716.0,679.0,53.7,30.0,808.25,1045.25,1191.0,663.75,24.2,422.0,-132.0,↓ Reduce $554 → $422,8,353.04,759.5,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,98,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,70.8,47.3,1063.75,1846.5,1961.6,1056.91,37.3,738.0,-322.0,↓ Reduce $1060 → $738,11,313.3,1573.98,605.41,+43% vs Track Record
INFORMATIONAL,ON TARGET,2027-01-04,2027-01-07,midweek,3,106,NORMAL_WINDOW,578.0,500,2234.0,744.67,41.8,47.3,992.33,1216.33,1315.6,944.22,-4.6,614.0,36.0,,14,313.3,1573.98,566.93,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-07,2027-01-10,weekend,3,109,NORMAL_WINDOW,964.0,500,3392.0,1130.67,61.2,65.0,1110.0,1814.33,1889.4,1519.33,-9.3,1080.0,116.0,,12,649.63,2360.96,866.66,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-10,2027-01-14,midweek,4,112,NORMAL_WINDOW,578.0,500,2812.0,703.0,48.4,47.3,859.88,1324.38,1402.45,829.8,3.0,558.0,-20.0,,11,313.3,872.29,556.1,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-19,2027-01-21,midweek,2,121,NORMAL_WINDOW,578.0,500,1656.0,828.0,47.0,47.3,891.5,1274.5,1442.7,836.64,-1.0,587.0,9.0,,10,313.3,691.42,534.7,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-21,2027-01-24,weekend,3,123,NORMAL_WINDOW,964.0,500,3392.0,1130.67,60.9,65.0,1233.5,1569.0,1815.33,1462.42,-5.8,1033.0,69.0,,9,649.63,1037.13,834.16,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-24,2027-01-28,midweek,4,126,NORMAL_WINDOW,578.0,500,2812.0,703.0,32.2,47.3,1047.5,1465.12,1574.55,1027.29,-16.8,720.0,142.0,↑ Increase $578 → $720,11,433.09,1420.76,577.79,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-28,2027-01-31,weekend,3,130,NORMAL_WINDOW,964.0,500,3392.0,1130.67,63.2,65.0,1167.66,1745.25,1838.87,1384.7,-0.5,969.0,5.0,,12,649.63,2131.14,873.46,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-31,2027-02-04,midweek,4,133,NORMAL_WINDOW,706.25,500,3325.0,831.25,48.6,47.3,1052.0,1433.25,1467.1,943.62,7.4,649.0,-57.0,,10,433.09,1420.76,618.1,Aligned With Track Record
URGENT_ACTION,UNDERPRICED,2027-02-04,2027-02-07,weekend,3,137,NORMAL_WINDOW,1099.0,500,3797.0,1265.67,52.6,80.0,1372.67,1994.83,2206.73,2206.73,-30.0,1641.0,542.0,↑ Increase $1099 → $1641 • High compression,15,524.88,2131.14,966.46,+71% vs Track Record
INFORMATIONAL,ON TARGET,2027-02-07,2027-02-10,midweek,3,140,NORMAL_WINDOW,749.0,500,2747.0,915.67,32.1,47.3,1226.5,1569.58,1713.93,1215.86,-8.5,834.0,85.0,,11,500.85,1420.76,644.31,+50% vs Track Record
URGENT_ACTION,UNDERPRICED,2027-02-21,2027-02-25,midweek,4,154,NORMAL_WINDOW,749.0,500,3496.0,874.0,28.0,47.3,1546.25,1867.5,1926.75,1518.39,-29.8,1119.0,370.0,↑ Increase $749 → $1119,11,500.85,1420.76,644.31,+60% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-03-01,2027-03-04,midweek,3,162,PRE_WINDOW,984.0,500,3452.0,1150.67,65.4,47.3,1182.0,1656.17,1774.6,1177.57,19.2,799.0,-185.0,↓ Reduce $984 → $799,12,500.85,1037.98,680.8,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-03-04,2027-03-07,weekend,3,165,PRE_WINDOW,1492.0,500,4976.0,1658.67,62.2,65.0,1765.67,2379.67,2517.06,2096.33,-3.0,1543.0,51.0,,23,751.28,1711.23,1199.83,+31% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-03-07,2027-03-11,midweek,4,168,PRE_WINDOW,984.0,500,4436.0,1109.0,56.6,47.3,1221.0,1921.75,2112.4,1203.0,12.8,858.0,-126.0,↓ Reduce $984 → $858,12,574.06,1139.21,948.88,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-11,2027-03-14,weekend,3,172,PRE_WINDOW,1492.0,500,4976.0,1658.67,51.4,65.0,1954.33,2764.67,2803.6,2414.8,-15.8,1803.0,311.0,↑ Increase $1492 → $1803,25,856.86,1711.23,1256.37,+36% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-14,2027-03-17,midweek,3,175,PRE_WINDOW,984.0,500,3452.0,1150.67,32.5,47.3,1748.33,2789.0,3120.06,1724.76,-18.6,1248.0,264.0,↑ Increase $984 → $1248,12,574.06,1251.67,960.38,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-03-21,2027-03-25,midweek,4,182,PRE_WINDOW,1099.0,500,4896.0,1224.0,46.0,47.3,1521.5,1967.12,2293.65,1504.26,-0.3,1103.0,4.0,,17,515.65,1251.67,969.69,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-03-25,2027-03-28,weekend,3,186,PRE_WINDOW,1564.0,500,5192.0,1730.67,61.9,65.0,1865.16,2607.0,2713.13,2341.07,-9.3,1742.0,178.0,,24,773.47,1877.5,1262.77,+28% vs Track Record
INFORMATIONAL,ON TARGET,2027-03-28,2027-04-01,midweek,4,189,PRE_WINDOW,1012.75,500,4551.0,1137.75,44.8,47.3,1482.12,2534.31,2681.55,1415.74,-4.6,1068.0,55.0,,14,515.65,1251.67,960.38,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-01,2027-04-04,weekend,3,193,PRE_WINDOW,1199.0,500,4097.0,1365.67,48.9,65.0,1673.0,2782.0,2915.67,2160.0,-22.7,1600.0,401.0,↑ Increase $1199 → $1600,18,691.39,1877.5,1228.68,+33% vs Track Record
INFORMATIONAL,ON TARGET,2027-04-04,2027-04-08,midweek,4,196,PRE_WINDOW,749.0,500,3496.0,874.0,45.6,47.3,1104.12,1850.88,2099.85,1091.0,-2.2,769.0,20.0,,12,515.65,1251.67,960.38,Aligned With Track Record
URGENT_ACTION,UNDERPRICED,2027-04-08,2027-04-11,weekend,3,200,PRE_WINDOW,1199.0,500,4097.0,1365.67,35.9,65.0,1999.33,2788.33,2908.6,2551.8,-34.6,1921.0,722.0,↑ Increase $1199 → $1921,16,577.55,1877.5,1137.44,+48% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-11,2027-04-15,midweek,4,203,PRE_WINDOW,749.0,500,3496.0,874.0,58.1,47.3,970.25,1589.0,1702.5,953.49,11.9,656.0,-93.0,↓ Reduce $749 → $656,10,515.65,1251.67,846.71,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-15,2027-04-18,weekend,3,207,PRE_WINDOW,1199.0,500,4097.0,1365.67,67.3,65.0,1286.66,2002.25,2174.27,1619.02,3.1,1158.0,-41.0,,14,577.55,1722.95,1048.85,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-18,2027-04-22,midweek,4,210,PRE_WINDOW,749.0,500,3496.0,874.0,60.3,47.3,924.25,1364.25,1527.05,916.89,16.3,626.0,-123.0,↓ Reduce $749 → $626,9,517.64,1148.63,758.04,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-22,2027-04-25,weekend,3,214,PRE_WINDOW,1199.0,500,4097.0,1365.67,62.0,65.0,1335.67,2033.67,2142.8,1836.15,-9.1,1335.0,136.0,,14,577.55,1722.95,880.99,+56% vs Track Record
URGENT_ACTION,OVERPRICED,2027-04-25,2027-04-29,midweek,4,217,PRE_WINDOW,749.0,500,3496.0,874.0,64.5,47.3,855.12,1271.69,1319.65,834.47,27.8,559.0,-190.0,↓ Reduce $749 → $559,8,517.64,1148.63,569.01,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-29,2027-05-02,weekend,3,221,PRE_WINDOW,1132.0,500,3896.0,1298.67,65.3,65.0,1205.67,1930.33,2070.33,1583.66,0.2,1130.0,-2.0,,16,552.21,1722.95,847.53,+29% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-02,2027-05-06,midweek,4,224,PRE_WINDOW,595.0,500,2880.0,720.0,40.0,47.3,1039.62,1353.0,1475.3,993.85,-11.9,692.0,97.0,↑ Increase $595 → $692,10,368.14,1148.63,565.02,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-06,2027-05-09,weekend,3,228,PRE_WINDOW,998.0,500,3494.0,1164.67,61.7,65.0,1234.67,1907.84,2082.8,1616.04,-12.1,1158.0,160.0,↑ Increase $998 → $1158,17,552.21,1722.95,848.41,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-09,2027-05-13,midweek,4,231,PRE_WINDOW,595.0,500,2880.0,720.0,32.6,47.3,1009.12,1272.31,1361.25,981.98,-10.8,683.0,88.0,↑ Increase $595 → $683,8,368.14,1148.63,565.02,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-05-13,2027-05-16,weekend,3,235,PRE_WINDOW,998.0,500,3494.0,1164.67,66.7,65.0,1187.0,1759.0,1970.34,1389.6,2.2,973.0,-25.0,,18,494.55,1722.95,843.99,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-05-16,2027-05-20,midweek,4,238,PRE_WINDOW,595.0,500,2880.0,720.0,52.8,47.3,847.62,1312.19,1355.25,834.71,4.9,561.0,-34.0,,10,329.7,572.41,562.53,Aligned With Track Record
URGENT_ACTION,UNDERPRICED,2027-05-20,2027-05-23,weekend,3,242,PRE_WINDOW,998.0,500,3494.0,1164.67,53.5,65.0,1377.67,2015.16,2038.47,1893.93,-25.0,1386.0,388.0,↑ Increase $998 → $1386,15,466.81,1450.87,803.05,+49% vs Track Record
