priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,2,LAST_MINUTE,549.0,500,2147.0,715.67,68.4,50.0,625.67,832.34,850.6,625.67,28.1,450.0,-99.0,↓ Reduce $549 → $450 • High compression,14,520.01,1485.0,647.69,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,5,LAST_MINUTE,399.0,500,1697.0,565.67,70.7,30.0,519.67,740.33,806.33,442.33,62.5,300.0,-99.0,↓ Reduce $399 → $300,9,346.67,554.31,426.91,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,19,LAST_MINUTE,532.33,500,2097.0,699.0,92.1,30.0,605.66,710.08,734.93,539.2,50.2,499.0,-33.0,↓ Reduce $532 → $499,15,332.91,554.31,446.59,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-10-26,2026-10-29,midweek,3,34,LAST_MINUTE,399.0,500,1697.0,565.67,53.2,30.0,608.5,901.83,959.8,507.43,28.6,300.0,-99.0,↓ Reduce $399 → $300,16,332.91,968.75,471.87,-36% vs Track Record
INFORMATIONAL,ON TARGET,2026-10-29,2026-11-01,weekend,3,37,LAST_MINUTE,599.0,500,2297.0,765.67,57.1,60.7,834.0,1134.09,1205.67,983.98,-9.7,681.0,82.0,,20,541.34,1453.13,679.37,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-08,2026-11-11,midweek,3,47,LAST_MINUTE,490.0,500,1970.0,656.67,51.1,30.0,715.67,1030.16,1087.66,605.8,25.5,357.0,-133.0,↓ Reduce $490 → $357,18,364.79,968.75,503.45,-27% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,54,NORMAL_WINDOW,490.0,500,2460.0,615.0,62.7,30.0,626.75,836.88,878.65,520.2,37.3,323.0,-167.0,↓ Reduce $490 → $323,17,364.79,968.75,522.98,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,68,NORMAL_WINDOW,751.5,500,3506.0,876.5,76.7,30.0,778.88,1016.75,1111.3,556.48,92.2,499.0,-252.0,↓ Reduce $752 → $499,11,353.04,919.57,505.36,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,72,NORMAL_WINDOW,714.0,500,2642.0,880.67,58.1,60.7,970.67,1336.34,1386.47,1116.5,-4.3,754.0,40.0,,13,529.55,1379.36,656.89,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-06,2026-12-10,midweek,4,75,NORMAL_WINDOW,554.0,500,2716.0,679.0,45.7,30.0,859.88,1188.0,1253.5,665.5,23.9,423.0,-131.0,↓ Reduce $554 → $423,8,353.04,759.5,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,96,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,69.6,47.3,1049.0,1826.5,1909.15,1015.88,42.9,704.0,-356.0,↓ Reduce $1060 → $704,11,313.3,1573.98,605.41,+40% vs Track Record
INFORMATIONAL,ON TARGET,2027-01-04,2027-01-07,midweek,3,104,NORMAL_WINDOW,578.0,500,2234.0,744.67,48.0,47.3,908.0,1301.16,1402.6,886.04,1.6,578.0,0.0,,14,313.3,1573.98,566.93,Aligned With Track Record
