priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-21,2026-09-24,midweek,3,7,LAST_MINUTE,399.0,500,1697.0,565.67,75.0,30.8,496.0,673.08,779.86,422.0,60.5,249.0,-150.0,↓ Reduce $399 → $249,9,346.67,554.31,426.91,-42% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,10,LAST_MINUTE,549.0,500,2147.0,715.67,65.2,49.6,625.67,925.0,979.93,624.91,28.2,391.0,-158.0,↓ Reduce $549 → $391,14,520.01,1485.0,647.69,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,13,LAST_MINUTE,399.0,500,1697.0,565.67,66.7,30.8,582.67,937.33,1016.6,496.43,44.8,249.0,-150.0,↓ Reduce $399 → $249,9,346.67,554.31,426.91,-42% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,27,LAST_MINUTE,532.33,500,2097.0,699.0,72.7,38.5,635.84,878.5,895.07,617.55,31.2,366.0,-166.0,↓ Reduce $532 → $366,15,332.91,554.31,446.59,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-26,2026-10-29,midweek,3,42,LAST_MINUTE,399.0,500,1697.0,565.67,56.1,34.4,612.0,993.58,1091.0,531.05,22.9,294.0,-105.0,↓ Reduce $399 → $294,16,332.91,968.75,471.87,-31% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-29,2026-11-01,weekend,3,45,LAST_MINUTE,599.0,500,2297.0,765.67,56.4,65.2,859.67,1166.0,1217.6,1083.35,-18.0,767.0,168.0,↑ Increase $599 → $767,20,541.34,1453.13,679.37,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-11-08,2026-11-11,midweek,3,55,NORMAL_WINDOW,490.0,500,1970.0,656.67,52.2,34.4,742.84,1037.0,1081.0,675.11,12.6,417.0,-73.0,↓ Reduce $490 → $417,18,364.79,968.75,503.45,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,62,NORMAL_WINDOW,490.0,500,2460.0,615.0,63.3,34.4,665.75,906.75,983.25,572.62,30.0,348.0,-142.0,↓ Reduce $490 → $348,17,364.79,968.75,522.98,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,76,NORMAL_WINDOW,751.5,500,3506.0,876.5,75.4,34.4,704.5,1035.5,1147.75,577.39,85.2,348.0,-404.0,↓ Reduce $752 → $348,11,353.04,919.57,505.36,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,80,NORMAL_WINDOW,714.0,500,2642.0,880.67,60.9,65.2,934.5,1225.67,1339.67,1163.69,-8.2,793.0,79.0,,13,529.55,1379.36,656.89,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-06,2026-12-10,midweek,4,83,NORMAL_WINDOW,554.0,500,2716.0,679.0,53.1,34.4,790.5,1149.0,1201.7,673.75,22.4,430.0,-124.0,↓ Reduce $554 → $430,8,353.04,759.5,535.49,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-27,2026-12-31,midweek,4,104,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,76.9,57.6,1126.62,1346.75,1831.0,1244.85,16.6,891.0,-169.0,↓ Reduce $1060 → $891,11,313.3,1573.98,605.41,+58% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-04,2027-01-07,midweek,3,112,NORMAL_WINDOW,578.0,500,2234.0,744.67,49.2,57.6,908.0,1214.33,1322.0,1008.09,-10.7,667.0,89.0,↑ Increase $578 → $667,14,313.3,1573.98,566.93,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-01-07,2027-01-10,weekend,3,115,NORMAL_WINDOW,964.0,500,3392.0,1130.67,69.5,58.9,1009.0,1576.16,1715.67,1122.22,22.8,754.0,-210.0,↓ Reduce $964 → $754,12,649.63,2360.96,866.66,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-10,2027-01-14,midweek,4,118,NORMAL_WINDOW,578.0,500,2812.0,703.0,50.7,57.6,843.0,1277.0,1358.7,950.67,-10.1,657.0,79.0,↑ Increase $578 → $657,11,313.3,872.29,556.1,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-19,2027-01-21,midweek,2,127,NORMAL_WINDOW,578.0,500,1656.0,828.0,48.6,57.6,845.0,1067.25,1207.7,876.44,-5.5,626.0,48.0,,10,313.3,691.42,534.7,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-21,2027-01-24,weekend,3,129,NORMAL_WINDOW,964.0,500,3392.0,1130.67,62.0,58.9,1190.0,1687.66,1752.2,1305.53,5.6,904.0,-60.0,,9,649.63,1037.13,834.16,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-24,2027-01-28,midweek,4,132,NORMAL_WINDOW,578.0,500,2812.0,703.0,34.3,57.6,965.38,1399.69,1513.25,1057.12,-19.2,745.0,167.0,↑ Increase $578 → $745,11,433.09,1420.76,577.79,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-28,2027-01-31,weekend,3,136,NORMAL_WINDOW,964.0,500,3392.0,1130.67,60.4,58.9,1106.5,1893.66,1970.73,1315.26,4.8,912.0,-52.0,,12,649.63,2131.14,873.46,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-31,2027-02-04,midweek,4,139,NORMAL_WINDOW,706.25,500,3325.0,831.25,52.5,57.6,975.5,1522.5,1586.3,1098.65,-7.8,776.0,70.0,,10,433.09,1420.76,618.1,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-02-04,2027-02-07,weekend,3,143,NORMAL_WINDOW,1099.0,500,3797.0,1265.67,57.4,58.9,1378.33,2000.16,2246.14,1613.15,-4.2,1155.0,56.0,,15,524.88,2131.14,966.46,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-07,2027-02-10,midweek,3,146,NORMAL_WINDOW,749.0,500,2747.0,915.67,33.3,57.6,1240.0,1708.33,1730.33,1410.3,-21.1,994.0,245.0,↑ Increase $749 → $994,11,500.85,1420.76,644.31,+59% vs Track Record
URGENT_ACTION,UNDERPRICED,2027-02-21,2027-02-25,midweek,4,160,PRE_WINDOW,749.0,500,3496.0,874.0,25.0,57.6,1348.5,1843.06,1895.7,1560.21,-31.6,1154.0,405.0,↑ Increase $749 → $1154,10,500.85,1420.76,615.55,+83% vs Track Record
INFORMATIONAL,ON TARGET,2027-02-25,2027-02-28,weekend,3,164,PRE_WINDOW,1099.0,500,3797.0,1265.67,46.5,58.9,1587.0,2270.83,2324.8,1707.2,-9.5,1232.0,133.0,,20,524.88,1711.23,1029.28,+34% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-28,2027-03-04,midweek,4,167,PRE_WINDOW,925.25,500,4201.0,1050.25,47.5,57.6,1329.25,2136.25,2274.75,1605.0,-20.0,1187.0,262.0,↑ Increase $925 → $1187,10,500.85,1037.98,622.53,+83% vs Track Record
INFORMATIONAL,ON TARGET,2027-03-04,2027-03-07,weekend,3,171,PRE_WINDOW,1492.0,500,4976.0,1658.67,60.9,58.9,1726.5,2581.91,2637.67,1908.27,6.6,1390.0,-102.0,,22,751.28,1711.23,1201.19,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-03-07,2027-03-11,midweek,4,174,PRE_WINDOW,984.0,500,4436.0,1109.0,68.1,57.6,1154.5,1520.75,1643.1,1191.95,13.9,849.0,-135.0,↓ Reduce $984 → $849,11,574.06,1139.21,951.06,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-03-11,2027-03-14,weekend,3,178,PRE_WINDOW,1492.0,500,4976.0,1658.67,61.0,58.9,1870.33,2744.33,2784.33,1995.11,1.9,1461.0,-31.0,,24,856.86,1711.23,1256.91,+26% vs Track Record
URGENT_ACTION,UNDERPRICED,2027-03-14,2027-03-17,midweek,3,181,PRE_WINDOW,984.0,500,3452.0,1150.67,31.0,57.6,1716.0,2285.92,2427.4,1880.49,-25.4,1375.0,391.0,↑ Increase $984 → $1375,12,574.06,1251.67,960.38,+36% vs Track Record
INFORMATIONAL,ON TARGET,2027-03-21,2027-03-25,midweek,4,188,PRE_WINDOW,1099.0,500,4896.0,1224.0,54.5,57.6,1407.75,2107.88,2388.2,1595.48,-6.0,1177.0,78.0,,17,515.65,1251.67,969.69,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-03-25,2027-03-28,weekend,3,192,PRE_WINDOW,1564.0,500,5192.0,1730.67,63.4,58.9,1819.67,2598.67,2711.33,1964.79,8.0,1436.0,-128.0,,24,773.47,1877.5,1262.77,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-03-28,2027-04-01,midweek,4,195,PRE_WINDOW,1012.75,500,4551.0,1137.75,53.7,57.6,1211.38,2188.5,2268.8,1457.98,-7.4,1104.0,91.0,,14,515.65,1251.67,960.38,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-01,2027-04-04,weekend,3,199,PRE_WINDOW,1199.0,500,4097.0,1365.67,53.3,58.9,1565.67,2419.0,2803.6,1738.49,-4.0,1256.0,57.0,,18,691.39,1877.5,1228.68,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-04,2027-04-08,midweek,4,202,PRE_WINDOW,749.0,500,3496.0,874.0,51.6,57.6,1047.62,1850.38,2028.05,1134.37,-6.0,805.0,56.0,,12,515.65,1251.67,960.38,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-08,2027-04-11,weekend,3,206,PRE_WINDOW,1199.0,500,4097.0,1365.67,56.5,58.9,1427.83,2270.0,2487.33,1686.94,-1.0,1213.0,14.0,,16,577.55,1877.5,1137.44,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-04-11,2027-04-15,midweek,4,209,PRE_WINDOW,749.0,500,3496.0,874.0,57.8,57.6,941.25,1698.62,1856.75,1045.42,2.0,732.0,-17.0,,10,515.65,1251.67,846.71,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-15,2027-04-18,weekend,3,213,PRE_WINDOW,1199.0,500,4097.0,1365.67,70.2,58.9,1299.33,2039.33,2205.27,1411.34,18.3,988.0,-211.0,↓ Reduce $1199 → $988,14,577.55,1722.95,1048.85,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-18,2027-04-22,midweek,4,216,PRE_WINDOW,749.0,500,3496.0,874.0,66.1,57.6,893.75,1216.5,1367.15,952.28,12.0,655.0,-94.0,↓ Reduce $749 → $655,9,517.64,1148.63,758.04,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-22,2027-04-25,weekend,3,220,PRE_WINDOW,1199.0,500,4097.0,1365.67,67.4,58.9,1274.34,2057.75,2179.0,1400.06,19.2,979.0,-220.0,↓ Reduce $1199 → $979,14,577.55,1722.95,880.99,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-25,2027-04-29,midweek,4,223,PRE_WINDOW,749.0,500,3496.0,874.0,68.9,57.6,792.0,1107.5,1320.25,897.07,18.9,610.0,-139.0,↓ Reduce $749 → $610,8,517.64,1148.63,569.01,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-29,2027-05-02,weekend,3,227,PRE_WINDOW,1132.0,500,3896.0,1298.67,65.3,58.9,1205.67,1953.67,1982.8,1331.49,19.1,923.0,-209.0,↓ Reduce $1132 → $923,16,552.21,1722.95,847.53,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-05-02,2027-05-06,midweek,4,230,PRE_WINDOW,595.0,500,2880.0,720.0,50.0,57.6,884.0,1227.62,1383.35,966.51,-9.4,670.0,75.0,,10,368.14,1148.63,565.02,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-05-06,2027-05-09,weekend,3,234,PRE_WINDOW,998.0,500,3494.0,1164.67,67.9,58.9,1075.0,1731.0,1922.8,1255.13,13.2,863.0,-135.0,↓ Reduce $998 → $863,17,552.21,1722.95,848.41,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-09,2027-05-13,midweek,4,237,PRE_WINDOW,595.0,500,2880.0,720.0,42.9,57.6,925.0,1287.62,1348.7,1000.53,-12.5,698.0,103.0,↑ Increase $595 → $698,8,368.14,1148.63,565.02,Aligned With Track Record
