priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,1,LAST_MINUTE,351.0,500,1553.0,517.67,68.6,30.0,504.33,723.84,741.53,426.87,59.1,300.0,-51.0,↓ Reduce $351 → $300,9,346.67,554.31,426.91,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,15,LAST_MINUTE,595.67,500,2287.0,762.33,88.6,30.0,598.33,718.33,761.66,498.6,77.4,499.0,-97.0,↓ Reduce $596 → $499,15,332.91,554.31,446.59,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-10-26,2026-10-29,midweek,3,30,LAST_MINUTE,399.0,500,1697.0,565.67,56.1,30.0,582.67,880.67,901.33,469.67,39.0,300.0,-99.0,↓ Reduce $399 → $300,16,332.91,968.75,471.87,-36% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-29,2026-11-01,weekend,3,33,LAST_MINUTE,694.0,500,2582.0,860.67,75.0,59.3,730.83,990.17,1026.0,809.11,23.6,529.0,-165.0,↓ Reduce $694 → $529,20,541.34,1453.13,679.37,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-11-08,2026-11-11,midweek,3,43,LAST_MINUTE,424.0,500,1772.0,590.67,37.5,30.0,729.83,1013.17,1017.0,628.57,8.7,377.0,-47.0,,18,364.79,968.75,503.45,-29% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-11-15,2026-11-19,midweek,4,50,LAST_MINUTE,424.0,500,2196.0,549.0,47.1,30.0,663.12,881.25,915.25,558.85,14.0,356.0,-68.0,↓ Reduce $424 → $356,17,364.79,968.75,522.98,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,64,NORMAL_WINDOW,721.5,500,3386.0,846.5,77.8,30.0,813.25,983.25,1103.5,586.7,75.9,499.0,-222.0,↓ Reduce $722 → $499,11,353.04,919.57,505.36,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,68,NORMAL_WINDOW,714.0,500,2642.0,880.67,61.1,59.3,955.17,1278.67,1339.67,1052.22,1.5,714.0,0.0,,13,529.55,1379.36,656.89,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-06,2026-12-10,midweek,4,71,NORMAL_WINDOW,494.0,500,2476.0,619.0,41.7,30.0,873.62,1182.0,1243.25,686.75,9.1,442.0,-52.0,,8,353.04,759.5,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,92,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,72.7,46.6,1017.5,1547.75,1814.45,985.2,47.3,679.0,-381.0,↓ Reduce $1060 → $679,11,313.3,1573.98,605.41,+37% vs Track Record
INFORMATIONAL,ON TARGET,2027-01-04,2027-01-07,midweek,3,100,NORMAL_WINDOW,578.0,500,2234.0,744.67,43.6,46.6,940.0,1214.83,1305.47,915.31,-1.6,578.0,0.0,,14,313.3,1573.98,566.93,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-07,2027-01-10,weekend,3,103,NORMAL_WINDOW,964.0,500,3392.0,1130.67,60.6,60.0,951.0,1499.33,1560.73,1094.87,3.3,964.0,0.0,,12,649.63,2360.96,866.66,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-10,2027-01-14,midweek,4,106,NORMAL_WINDOW,578.0,500.0,2812.0,703.0,35.1,46.6,826.0,1313.0,1367.05,796.03,-11.7,671.0,93.0,↑ Increase $578 → $671,11,313.3,872.29,556.1,Aligned With Track Record
INFORMATIONAL,ON TARGET,2027-01-19,2027-01-21,midweek,2,115,NORMAL_WINDOW,578.0,500.0,1656.0,828.0,50.0,46.6,828.0,1196.0,1266.9,815.75,1.5,578.0,0.0,,10,313.3,691.42,534.7,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-21,2027-01-24,weekend,3,117,NORMAL_WINDOW,964.0,500.0,3392.0,1130.67,43.1,60.0,1254.33,1659.0,1840.33,1433.33,-21.1,1267.0,303.0,↑ Increase $964 → $1267,9,649.63,1037.13,834.16,+48% vs Track Record
URGENT_ACTION,UNDERPRICED,2027-01-24,2027-01-28,midweek,4,120,NORMAL_WINDOW,578.0,500.0,2812.0,703.0,17.1,46.6,1001.0,1399.62,1490.25,956.52,-26.5,832.0,254.0,↑ Increase $578 → $832,11,433.09,1420.76,577.79,+49% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-28,2027-01-31,weekend,3,124,NORMAL_WINDOW,964.0,500.0,3392.0,1130.67,49.0,60.0,1136.33,1831.67,1868.33,1346.94,-16.1,1180.0,216.0,↑ Increase $964 → $1180,12,649.63,2131.14,873.46,+48% vs Track Record
INFORMATIONAL,ON TARGET,2027-01-31,2027-02-04,midweek,4,127,NORMAL_WINDOW,750.5,500.0,3502.0,875.5,42.6,46.6,965.25,1436.31,1545.05,912.55,-4.1,750.5,0.0,,10,433.09,1420.76,618.1,+35% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-04,2027-02-07,weekend,3,131,NORMAL_WINDOW,1272.0,500.0,4316.0,1438.67,46.2,60.0,1568.0,2297.83,2408.13,1723.93,-16.5,1557.0,285.0,↑ Increase $1272 → $1557,15,524.88,2131.14,966.46,+62% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-07,2027-02-10,midweek,3,134,NORMAL_WINDOW,808.0,500.0,2924.0,974.67,17.8,46.6,1348.33,1727.0,2283.94,1294.87,-24.7,1128.0,320.0,↑ Increase $808 → $1128,11,500.85,1420.76,644.31,+96% vs Track Record
URGENT_ACTION,UNDERPRICED,2027-02-21,2027-02-25,midweek,4,148,NORMAL_WINDOW,808.0,500.0,3732.0,933.0,17.7,46.6,1379.62,1834.44,1937.35,1294.13,-27.9,1169.0,361.0,↑ Increase $808 → $1169,11,500.85,1420.76,644.31,+104% vs Track Record
INFORMATIONAL,ON TARGET,2027-03-01,2027-03-04,midweek,3,156,PRE_WINDOW,1001.0,500.0,3503.0,1167.67,45.5,46.6,1181.67,1618.16,1712.46,1176.44,-0.7,1001.0,0.0,,12,500.85,1037.98,680.8,+47% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-04,2027-03-07,weekend,3,159,PRE_WINDOW,1492.0,500.0,4976.0,1658.67,41.7,60.0,1795.67,2594.08,2698.87,2131.33,-22.2,1965.0,473.0,↑ Increase $1492 → $1965,23,751.28,1711.23,1199.83,+58% vs Track Record
INFORMATIONAL,ON TARGET,2027-03-07,2027-03-11,midweek,4,162,PRE_WINDOW,1001.0,500.0,4504.0,1126.0,34.4,46.6,1202.0,1951.31,2190.9,1184.93,-5.0,1060.0,59.0,,12,574.06,1139.21,948.88,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-11,2027-03-14,weekend,3,166,PRE_WINDOW,1492.0,500.0,4976.0,1658.67,40.8,60.0,1943.67,2776.67,3140.8,2165.33,-23.4,1999.0,507.0,↑ Increase $1492 → $1999,25,856.86,1711.23,1256.37,+67% vs Track Record
