priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-21,2026-09-24,midweek,3,2,LAST_MINUTE,399.0,500,1697.0,565.67,65.2,30.0,514.5,706.34,743.0,422.17,60.4,300.0,-99.0,↓ Reduce $399 → $300,8,346.67,554.31,439.62,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,5,LAST_MINUTE,549.0,500,2147.0,715.67,66.7,42.5,625.67,821.0,861.0,595.0,34.7,450.0,-99.0,↓ Reduce $549 → $450,13,520.01,1485.0,655.02,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,8,LAST_MINUTE,399.0,500,1697.0,565.67,65.7,30.0,519.67,772.16,892.0,461.67,55.7,300.0,-99.0,↓ Reduce $399 → $300,8,346.67,554.31,439.62,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,22,LAST_MINUTE,532.33,500,2097.0,699.0,78.8,30.0,619.67,760.33,814.87,560.27,44.6,317.0,-215.0,↓ Reduce $532 → $317,15,332.91,554.31,446.59,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-10-26,2026-10-29,midweek,3,37,LAST_MINUTE,399.0,500,1697.0,565.67,52.1,30.0,621.0,947.34,1001.13,485.87,34.3,300.0,-99.0,↓ Reduce $399 → $300,16,332.91,968.75,471.87,-36% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-29,2026-11-01,weekend,3,40,LAST_MINUTE,599.0,500,2297.0,765.67,52.3,61.6,873.33,1159.92,1167.67,1042.92,-14.8,732.0,133.0,↑ Increase $599 → $732,20,541.34,1453.13,679.37,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-11-08,2026-11-11,midweek,3,50,LAST_MINUTE,490.0,500,1970.0,656.67,40.0,30.0,810.5,1081.5,1116.53,695.73,9.2,434.0,-56.0,,18,364.79,968.75,503.45,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,57,NORMAL_WINDOW,490.0,500,2460.0,615.0,55.3,30.0,707.5,928.75,996.15,580.2,28.3,354.0,-136.0,↓ Reduce $490 → $354,17,364.79,968.75,522.98,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,71,NORMAL_WINDOW,751.5,500,3506.0,876.5,72.1,30.0,815.75,1108.62,1145.25,595.25,79.7,363.0,-388.0,↓ Reduce $752 → $363,11,353.04,919.57,505.36,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,75,NORMAL_WINDOW,714.0,500,2642.0,880.67,63.9,61.6,951.5,1234.33,1331.0,1051.32,1.6,700.0,-14.0,,13,529.55,1379.36,656.89,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-06,2026-12-10,midweek,4,78,NORMAL_WINDOW,554.0,500,2716.0,679.0,48.6,30.0,884.0,1166.75,1255.8,695.2,18.6,448.0,-106.0,↓ Reduce $554 → $448,8,353.04,759.5,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,99,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,69.6,45.0,1070.75,1882.38,1971.15,1067.67,36.0,747.0,-313.0,↓ Reduce $1060 → $747,11,313.3,1573.98,605.41,+43% vs Track Record
