priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,3,LAST_MINUTE,549.0,500,2147.0,715.67,70.0,42.5,637.16,831.0,862.67,626.22,28.0,450.0,-99.0,↓ Reduce $549 → $450,13,520.01,1485.0,655.02,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,6,LAST_MINUTE,399.0,500,1697.0,565.67,72.1,30.0,519.33,740.66,834.53,440.47,63.2,300.0,-99.0,↓ Reduce $399 → $300,8,346.67,554.31,439.62,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,20,LAST_MINUTE,532.33,500,2097.0,699.0,87.2,30.0,612.0,730.83,759.73,547.27,48.0,499.0,-33.0,↓ Reduce $532 → $499,15,332.91,554.31,446.59,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-10-26,2026-10-29,midweek,3,35,LAST_MINUTE,399.0,500,1697.0,565.67,53.2,30.0,608.5,932.67,993.4,477.73,36.6,300.0,-99.0,↓ Reduce $399 → $300,16,332.91,968.75,471.87,-36% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-29,2026-11-01,weekend,3,38,LAST_MINUTE,599.0,500,2297.0,765.67,55.2,60.8,827.0,1139.0,1163.87,986.52,-10.0,684.0,85.0,↑ Increase $599 → $684,20,541.34,1453.13,679.37,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-11-08,2026-11-11,midweek,3,48,LAST_MINUTE,490.0,500,1970.0,656.67,51.1,30.0,715.33,1030.16,1090.86,613.4,23.9,363.0,-127.0,↓ Reduce $490 → $363,18,364.79,968.75,503.45,-25% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,55,NORMAL_WINDOW,490.0,500,2460.0,615.0,59.7,30.0,624.25,848.31,902.85,541.5,31.9,341.0,-149.0,↓ Reduce $490 → $341,17,364.79,968.75,522.98,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,69,NORMAL_WINDOW,751.5,500,3506.0,876.5,76.9,30.0,741.5,1000.5,1115.5,565.2,89.2,499.0,-252.0,↓ Reduce $752 → $499,11,353.04,919.57,505.36,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,73,NORMAL_WINDOW,714.0,500,2642.0,880.67,61.4,60.8,953.17,1334.67,1384.0,1035.8,3.1,714.0,0.0,,13,529.55,1379.36,656.89,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-06,2026-12-10,midweek,4,76,NORMAL_WINDOW,554.0,500,2716.0,679.0,52.1,30.0,804.75,1130.31,1210.35,654.8,25.9,414.0,-140.0,↓ Reduce $554 → $414,8,353.04,759.5,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,97,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,66.7,47.3,1073.12,1874.75,2145.0,1048.21,38.5,731.0,-329.0,↓ Reduce $1060 → $731,11,313.3,1573.98,605.41,+43% vs Track Record
INFORMATIONAL,ON TARGET,2027-01-04,2027-01-07,midweek,3,105,NORMAL_WINDOW,578.0,500,2234.0,744.67,48.6,47.3,909.66,1239.84,1334.2,841.78,7.0,530.0,-48.0,,14,313.3,1573.98,566.93,Aligned With Track Record
