priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-04,2027-03-07,weekend,3,180,1199.0,500.0,4097.0,1365.67,35.3,65.0,1959.16,2496.58,2541.93,2307.08,-27.6,1721.0,522.0,↑ Increase $1199 → $1721
INFORMATIONAL,ON TARGET,2027-03-07,2027-03-11,midweek,4,183,861.5,500.0,3946.0,986.5,51.4,49.0,1203.0,1678.0,1821.8,1190.22,1.3,849.0,-12.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-11,2027-03-14,weekend,3,187,1199.0,500.0,4097.0,1365.67,31.4,70.0,2063.33,2479.5,2520.2,2398.53,-30.4,1796.0,597.0,↑ Increase $1199 → $1796
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-14,2027-03-17,midweek,3,190,899.0,500.0,3197.0,1065.67,19.4,49.0,1677.66,2310.25,2440.0,1654.8,-21.6,1192.0,293.0,↑ Increase $899 → $1192
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-03-21,2027-03-25,midweek,4,197,1099.0,500.0,4896.0,1224.0,57.1,49.0,1360.5,1708.88,1775.2,1360.08,10.3,985.0,-114.0,↓ Reduce $1099 → $985
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-25,2027-03-28,weekend,3,201,1099.0,500.0,3797.0,1265.67,27.3,70.0,1950.0,2343.33,2451.93,2313.4,-33.2,1728.0,629.0,↑ Increase $1099 → $1728
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-28,2027-04-01,midweek,4,204,836.5,500.0,3846.0,961.5,37.1,49.0,1319.5,1663.0,1924.25,1315.93,-10.7,952.0,116.0,↑ Increase $836 → $952
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-01,2027-04-04,weekend,3,208,1199.0,500.0,4097.0,1365.67,56.2,70.0,1524.5,2121.84,2155.33,2058.13,-18.9,1517.0,318.0,↑ Increase $1199 → $1517
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-04,2027-04-08,midweek,4,211,1049.0,500.0,4696.0,1174.0,64.4,49.0,1133.0,1730.0,1836.75,1110.78,29.4,782.0,-267.0,↓ Reduce $1049 → $782
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-08,2027-04-11,weekend,3,215,1199.0,500.0,4097.0,1365.67,43.6,70.0,1709.67,2328.16,2447.4,2171.6,-23.1,1610.0,411.0,↑ Increase $1199 → $1610
URGENT_ACTION,OVERPRICED,2027-04-11,2027-04-15,midweek,4,218,1049.0,500.0,4696.0,1174.0,72.9,49.0,1105.75,1547.5,1662.3,1053.35,36.5,735.0,-314.0,↓ Reduce $1049 → $735
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-15,2027-04-18,weekend,3,222,1199.0,500.0,4097.0,1365.67,53.5,70.0,1476.67,2203.17,2252.13,2145.87,-22.2,1589.0,390.0,↑ Increase $1199 → $1589
URGENT_ACTION,OVERPRICED,2027-04-18,2027-04-22,midweek,4,225,1049.0,500.0,4696.0,1174.0,70.2,49.0,1055.25,1563.75,1634.75,1035.24,38.9,720.0,-329.0,↓ Reduce $1049 → $720
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-22,2027-04-25,weekend,3,229,1199.0,500.0,4097.0,1365.67,46.9,70.0,1736.67,2143.33,2233.33,2057.47,-18.9,1517.0,318.0,↑ Increase $1199 → $1517
URGENT_ACTION,OVERPRICED,2027-04-25,2027-04-29,midweek,4,232,1049.0,500.0,4696.0,1174.0,79.2,49.0,1000.12,1370.94,1485.2,985.44,45.9,680.0,-369.0,↓ Reduce $1049 → $680
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-29,2027-05-02,weekend,3,236,1049.0,500.0,3647.0,1215.67,47.5,70.0,1511.0,1974.92,2021.06,1775.9,-16.5,1288.0,239.0,↑ Increase $1049 → $1288
INFORMATIONAL,ON TARGET,2027-05-02,2027-05-06,midweek,4,239,681.5,500.0,3226.0,806.5,46.0,49.0,1072.62,1331.75,1362.95,1064.17,-7.7,749.0,68.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-06,2027-05-09,weekend,3,243,749.0,500.0,2747.0,915.67,33.3,70.0,1377.67,1644.0,1692.8,1623.8,-31.5,1170.0,421.0,↑ Increase $749 → $1170
INFORMATIONAL,ON TARGET,2027-05-09,2027-05-13,midweek,4,246,681.5,500.0,3226.0,806.5,44.2,49.0,1096.88,1377.0,1469.5,1088.18,-9.7,768.0,86.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-13,2027-05-16,weekend,3,250,749.0,500.0,2747.0,915.67,34.7,70.0,1334.33,1714.67,1806.53,1666.87,-33.3,1206.0,457.0,↑ Increase $749 → $1206
INFORMATIONAL,ON TARGET,2027-05-16,2027-05-20,midweek,4,253,681.5,500.0,3226.0,806.5,44.6,49.0,1087.25,1375.44,1480.0,1078.92,-8.9,761.0,80.0,
URGENT_ACTION,UNDERPRICED,2027-05-20,2027-05-23,weekend,3,257,749.0,500.0,2747.0,915.67,29.2,70.0,1397.34,1845.0,1964.8,1755.06,-36.6,1278.0,529.0,↑ Increase $749 → $1278
INFORMATIONAL,ON TARGET,2027-05-23,2027-05-27,midweek,4,260,681.5,500.0,3226.0,806.5,45.1,49.0,1076.75,1342.75,1432.0,1043.25,-5.8,731.0,50.0,
URGENT_ACTION,UNDERPRICED,2027-05-27,2027-05-30,weekend,3,264,649.0,500.0,2447.0,815.67,20.0,70.0,1492.67,2008.67,2073.6,1916.2,-48.5,1416.0,767.0,↑ Increase $649 → $1416
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-05-30,2027-06-03,midweek,4,267,599.0,500.0,2896.0,724.0,24.4,49.0,1078.25,1344.25,1351.25,1049.25,-31.0,924.0,325.0,↑ Increase $599 → $924
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-06-03,2027-06-06,weekend,3,271,599.0,500.0,2297.0,765.67,25.0,70.0,851.0,1001.75,1086.0,917.5,-16.5,751.0,152.0,↑ Increase $599 → $751 • High compression
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-06-06,2027-06-10,midweek,4,274,599.0,500.0,2896.0,724.0,40.0,49.0,812.5,1040.0,1137.5,812.5,-10.9,688.0,89.0,↑ Increase $599 → $688
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-06-10,2027-06-13,weekend,3,278,599.0,500.0,2297.0,765.67,38.3,70.0,910.0,1164.8,1274.0,1055.6,-27.5,889.0,290.0,↑ Increase $599 → $889
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-06-13,2027-06-17,midweek,4,281,599.0,500.0,2896.0,724.0,40.0,49.0,812.5,1040.0,1137.5,812.5,-10.9,688.0,89.0,↑ Increase $599 → $688
URGENT_ACTION,UNDERPRICED,2027-06-17,2027-06-20,weekend,3,285,599.0,500.0,2297.0,765.67,20.0,70.0,981.67,1858.33,1955.8,1683.0,-54.5,1516.0,917.0,↑ Increase $599 → $1516
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-06-20,2027-06-24,midweek,4,288,599.0,500.0,2896.0,724.0,40.0,49.0,830.75,1763.25,1855.35,826.36,-12.4,701.0,102.0,↑ Increase $599 → $701
URGENT_ACTION,UNDERPRICED,2027-06-24,2027-06-27,weekend,3,292,599.0,500.0,2297.0,765.67,20.0,70.0,976.33,1483.0,1655.53,1381.67,-44.6,1215.0,616.0,↑ Increase $599 → $1215
INFORMATIONAL,ON TARGET,2027-06-27,2027-07-01,midweek,4,295,599.0,500.0,2896.0,724.0,50.0,49.0,725.5,829.62,889.4,725.23,-0.2,600.0,1.0,
URGENT_ACTION,UNDERPRICED,2027-07-01,2027-07-04,weekend,3,299,599.0,500.0,2297.0,765.67,20.0,70.0,967.67,1682.67,1815.27,1539.67,-50.3,1373.0,774.0,↑ Increase $599 → $1373
INFORMATIONAL,ON TARGET,2027-07-04,2027-07-08,midweek,4,302,599.0,500.0,2896.0,724.0,20.0,49.0,799.0,1418.75,1579.75,798.87,-9.4,674.0,75.0,
URGENT_ACTION,UNDERPRICED,2027-07-08,2027-07-11,weekend,3,306,599.0,500.0,2297.0,765.67,20.0,70.0,895.33,1556.0,1713.93,1423.87,-46.2,1257.0,658.0,↑ Increase $599 → $1257
INFORMATIONAL,ON TARGET,2027-07-11,2027-07-15,midweek,4,309,599.0,500.0,2896.0,724.0,50.0,49.0,749.75,834.62,868.3,748.02,-3.2,623.0,24.0,
URGENT_ACTION,UNDERPRICED,2027-07-15,2027-07-18,weekend,3,313,599.0,500.0,2297.0,765.67,20.0,70.0,870.0,1454.0,1632.33,1337.2,-42.7,1171.0,572.0,↑ Increase $599 → $1171
INFORMATIONAL,ON TARGET,2027-07-18,2027-07-22,midweek,4,316,599.0,500.0,2896.0,724.0,48.7,49.0,750.0,960.0,1050.0,745.24,-2.9,620.0,21.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-07-22,2027-07-25,weekend,3,320,599.0,500.0,2297.0,765.67,40.0,70.0,840.0,1075.2,1176.0,974.4,-21.4,808.0,209.0,↑ Increase $599 → $808
INFORMATIONAL,ON TARGET,2027-07-25,2027-07-29,midweek,4,323,599.0,500.0,2896.0,724.0,48.7,49.0,750.0,960.0,1050.0,745.03,-2.8,620.0,21.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-07-29,2027-08-01,weekend,3,327,599.0,500.0,2297.0,765.67,40.0,70.0,840.0,1075.2,1176.0,974.4,-21.4,808.0,209.0,↑ Increase $599 → $808
INFORMATIONAL,ON TARGET,2027-08-01,2027-08-05,midweek,4,330,599.0,500.0,2896.0,724.0,47.8,49.0,775.0,992.0,1085.0,774.62,-6.5,650.0,51.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-08-05,2027-08-08,weekend,3,334,599.0,500.0,2297.0,765.67,40.0,70.0,868.0,1111.04,1215.2,1006.88,-24.0,840.0,241.0,↑ Increase $599 → $840
INFORMATIONAL,ON TARGET,2027-08-08,2027-08-12,midweek,4,337,599.0,500.0,2896.0,724.0,48.7,49.0,775.0,992.0,1085.0,766.32,-5.5,641.0,42.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-08-12,2027-08-15,weekend,3,341,599.0,500.0,2297.0,765.67,40.0,70.0,868.0,1111.04,1215.2,1006.88,-24.0,840.0,241.0,↑ Increase $599 → $840
INFORMATIONAL,ON TARGET,2027-08-15,2027-08-19,midweek,4,344,599.0,500.0,2896.0,724.0,47.8,49.0,775.0,992.0,1085.0,770.98,-6.1,646.0,47.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-08-19,2027-08-22,weekend,3,348,599.0,500.0,2297.0,765.67,40.0,70.0,868.0,1111.04,1215.2,1006.88,-24.0,840.0,241.0,↑ Increase $599 → $840
INFORMATIONAL,ON TARGET,2027-08-22,2027-08-26,midweek,4,351,599.0,500.0,2896.0,724.0,48.7,49.0,775.0,992.0,1085.0,766.32,-5.5,641.0,42.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-08-26,2027-08-29,weekend,3,355,599.0,500.0,2297.0,765.67,40.0,70.0,868.0,1111.04,1215.2,1006.88,-24.0,840.0,241.0,↑ Increase $599 → $840
INFORMATIONAL,ON TARGET,2027-08-29,2027-09-02,midweek,4,358,599.0,500.0,2896.0,724.0,48.7,49.0,775.0,992.0,1085.0,766.32,-5.5,641.0,42.0,
URGENT_ACTION,UNDERPRICED,2027-09-02,2027-09-05,weekend,3,362,599.0,500.0,2297.0,765.67,8.6,70.0,1190.0,1523.2,1666.0,1380.4,-44.5,1214.0,615.0,↑ Increase $599 → $1214
