priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-21,2026-09-24,midweek,3,5,LAST_MINUTE,399.0,500,1697.0,565.67,70.0,30.8,486.0,752.33,881.6,374.03,81.1,249.0,-150.0,↓ Reduce $399 → $249,9,346.67,554.31,426.91,-42% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,8,LAST_MINUTE,549.0,500,2147.0,715.67,93.8,64.6,549.33,671.92,698.67,612.96,30.7,381.0,-168.0,↓ Reduce $549 → $381 • High compression,14,520.01,1485.0,647.69,-37% vs Track Record
INFORMATIONAL,ON TARGET,2026-09-27,2026-09-30,midweek,3,11,LAST_MINUTE,399.0,500,1697.0,565.67,50.0,45.8,0.0,0.0,0.0,0.0,0.0,399.0,0.0,,9,346.67,554.31,426.91,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-10-11,2026-10-14,midweek,3,25,LAST_MINUTE,532.33,500,2097.0,699.0,50.0,65.8,0.0,0.0,0.0,0.0,0.0,532.33,0.0,,15,332.91,554.31,446.59,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-10-26,2026-10-29,midweek,3,40,LAST_MINUTE,399.0,500,1697.0,565.67,50.0,39.2,0.0,0.0,0.0,0.0,0.0,399.0,0.0,,16,332.91,968.75,471.87,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-10-29,2026-11-01,weekend,3,43,LAST_MINUTE,599.0,500,2297.0,765.67,62.5,67.2,784.5,1020.92,1120.67,977.24,-9.1,676.0,77.0,,20,541.34,1453.13,679.37,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-08,2026-11-11,midweek,3,53,LAST_MINUTE,490.0,500,1970.0,656.67,68.8,39.2,649.0,784.59,802.33,532.49,42.7,293.0,-197.0,↓ Reduce $490 → $293 • High compression,18,364.79,968.75,503.45,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,60,NORMAL_WINDOW,490.0,500,2460.0,615.0,90.5,24.2,585.0,676.25,687.75,487.13,52.8,277.0,-213.0,↓ Reduce $490 → $277,17,364.79,968.75,522.98,-36% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,74,NORMAL_WINDOW,751.5,500,3506.0,876.5,94.4,24.2,602.88,787.38,811.05,535.4,99.8,314.0,-438.0,↓ Reduce $752 → $314,11,353.04,919.57,505.36,-34% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-03,2026-12-06,weekend,3,78,NORMAL_WINDOW,714.0,500,2642.0,880.67,73.9,52.2,925.0,1063.66,1104.33,926.13,15.4,597.0,-117.0,↓ Reduce $714 → $597,13,529.55,1379.36,656.89,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-06,2026-12-10,midweek,4,81,NORMAL_WINDOW,554.0,500,2716.0,679.0,73.7,24.2,612.0,871.88,985.45,507.59,62.4,293.0,-261.0,↓ Reduce $554 → $293,8,353.04,759.5,535.49,-36% vs Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,102,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,100.0,72.6,1019.88,1092.62,1093.0,1091.51,33.0,766.0,-294.0,↓ Reduce $1060 → $766 • High compression,11,313.3,1573.98,605.41,+54% vs Track Record
