priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,0,LAST_MINUTE,549.0,500,2147.0,715.67,64.7,50.0,619.67,843.67,857.53,619.67,29.3,450.0,-99.0,↓ Reduce $549 → $450 • High compression,14,520.01,1485.0,647.69,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,3,LAST_MINUTE,351.0,500,1553.0,517.67,63.6,30.0,528.0,750.0,846.53,459.37,47.9,300.0,-51.0,↓ Reduce $351 → $300,9,346.67,554.31,426.91,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,17,LAST_MINUTE,595.67,500,2287.0,762.33,93.9,30.0,601.33,698.67,738.33,535.13,65.3,499.0,-97.0,↓ Reduce $596 → $499,15,332.91,554.31,446.59,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-26,2026-10-29,midweek,3,32,LAST_MINUTE,399.0,500,1697.0,565.67,53.8,30.0,611.33,885.5,917.47,530.27,23.1,300.0,-99.0,↓ Reduce $399 → $300,16,332.91,968.75,471.87,-36% vs Track Record
INFORMATIONAL,ON TARGET,2026-10-29,2026-11-01,weekend,3,35,LAST_MINUTE,694.0,500,2582.0,860.67,62.8,60.7,862.33,1150.34,1200.47,972.73,2.8,694.0,0.0,,20,541.34,1453.13,679.37,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-11-08,2026-11-11,midweek,3,45,LAST_MINUTE,424.0,500,1772.0,590.67,29.0,30.0,873.67,1089.16,1114.0,699.33,-2.3,424.0,0.0,,18,364.79,968.75,503.45,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-11-15,2026-11-19,midweek,4,52,LAST_MINUTE,424.0,500,2196.0,549.0,45.7,30.0,652.38,837.06,915.0,544.5,17.0,344.0,-80.0,↓ Reduce $424 → $344,17,364.79,968.75,522.98,-32% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,66,NORMAL_WINDOW,721.5,500,3386.0,846.5,75.0,30.0,790.0,1040.94,1142.3,584.4,76.6,499.0,-222.0,↓ Reduce $722 → $499,11,353.04,919.57,505.36,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,70,NORMAL_WINDOW,714.0,500,2642.0,880.67,58.3,60.7,976.17,1342.75,1397.0,1156.21,-7.6,786.0,72.0,,13,529.55,1379.36,656.89,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-06,2026-12-10,midweek,4,73,NORMAL_WINDOW,494.0,500,2476.0,619.0,37.2,30.0,950.25,1218.38,1260.25,672.85,11.4,431.0,-63.0,↓ Reduce $494 → $431,8,353.04,759.5,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,94,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,73.7,47.3,981.5,1551.25,1823.4,979.19,48.2,674.0,-386.0,↓ Reduce $1060 → $674,11,313.3,1573.98,605.41,+36% vs Track Record
INFORMATIONAL,ON TARGET,2027-01-04,2027-01-07,midweek,3,102,NORMAL_WINDOW,578.0,500,2234.0,744.67,43.5,47.3,1025.17,1380.84,1461.67,954.44,-5.7,623.0,45.0,,14,313.3,1573.98,566.93,Aligned With Track Record
