priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-13,2026-09-17,midweek,4,1,LAST_MINUTE,399.0,500,2096.0,524.0,74.2,31.5,450.25,619.5,653.75,397.39,58.9,249.0,-150.0,↓ Reduce $399 → $249,2,370.32,536.25,453.28,-45% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-21,2026-09-24,midweek,3,9,NORMAL_WINDOW,399.0,500,1697.0,565.67,70.0,31.5,496.0,695.83,794.13,430.87,57.2,249.0,-150.0,↓ Reduce $399 → $249,4,346.67,536.25,361.68,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,12,NORMAL_WINDOW,549.0,500,2147.0,715.67,71.4,45.0,653.67,821.0,936.33,584.67,37.1,356.0,-193.0,↓ Reduce $549 → $356,5,520.01,804.38,549.0,-30% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,15,NORMAL_WINDOW,399.0,500,1697.0,565.67,56.8,31.5,582.67,939.33,1018.06,521.12,32.8,259.0,-140.0,↓ Reduce $399 → $259,4,346.67,536.25,361.68,-26% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-11,2026-10-14,midweek,3,29,NORMAL_WINDOW,532.33,500,2097.0,699.0,60.9,31.5,760.33,1082.33,1207.93,628.11,29.0,375.0,-157.0,↓ Reduce $532 → $375,5,332.91,406.01,353.04,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-26,2026-10-29,midweek,3,44,NORMAL_WINDOW,399.0,500,1697.0,565.67,52.1,38.5,635.84,1002.0,1078.73,588.84,10.8,344.0,-55.0,↓ Reduce $399 → $344,8,332.91,550.22,407.15,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-11-08,2026-11-11,midweek,3,57,NORMAL_WINDOW,490.0,500,1970.0,656.67,60.5,38.5,705.83,945.33,1048.33,646.92,17.5,392.0,-98.0,↓ Reduce $490 → $392,7,364.79,625.69,522.98,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-15,2026-11-19,midweek,4,64,NORMAL_WINDOW,490.0,500,2460.0,615.0,64.7,45.5,621.0,910.12,956.5,593.94,25.3,366.0,-124.0,↓ Reduce $490 → $366,6,364.79,625.69,465.63,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,78,NORMAL_WINDOW,751.5,500,3506.0,876.5,69.8,45.5,790.5,1135.88,1184.8,715.51,49.5,461.0,-290.0,↓ Reduce $752 → $461,2,353.04,625.69,489.37,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-12-03,2026-12-06,weekend,3,82,NORMAL_WINDOW,714.0,500,2642.0,880.67,50.0,65.0,1080.16,1343.84,1371.53,1223.97,-12.7,842.0,128.0,↑ Increase $714 → $842,3,529.55,938.53,631.22,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-12-06,2026-12-10,midweek,4,85,NORMAL_WINDOW,554.0,500,2716.0,679.0,51.1,45.5,791.75,1175.75,1212.0,745.91,10.5,489.0,-65.0,↓ Reduce $554 → $489,4,353.04,625.69,535.49,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-12-27,2026-12-31,midweek,4,106,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,90.5,45.5,948.0,1167.75,1315.0,938.55,54.7,641.0,-419.0,↓ Reduce $1060 → $641,7,313.3,1573.98,577.76,+44% vs Track Record
